time,position_east(m),position_north(m),acceleration_east(m/s2),acceleration_north(m/s2)
44.0,-1567.2557340264902,590.8003925569355,-0.1077795309247449,0.5505572976544499
45.0,-1598.7395131628437,620.3907389724627,-0.1110411921399645,-0.4556607007980346
46.0,-1629.9217945902783,650.0657783495262,0.3014977089187596,0.0846929615363478
47.0,-1660.7866818855691,680.2935227034613,0.3173941321438178,0.5527049768716097
48.0,-1691.450403729075,710.3264298699796,0.2011654517846182,-0.1948371874168515
49.0,-1722.0473672739754,739.970130354166,0.0667582986061461,-0.38920668233186
50.0,-1752.544121013227,769.1911154547706,0.1002098056487739,-0.4227153835818171
51.0,-1782.9190689656534,797.9669404206797,0.1218057868245523,-0.4451601346954703
52.0,-1812.856163964956,826.6384689938277,0.4378529531240929,-0.1042963927611708
53.0,-1842.1751463596595,855.3639772059396,0.6181126045994461,0.0539796389639377
54.0,-1870.737623758789,884.3730518491939,0.7565049955737777,0.2835664311423898
55.0,-1898.513673483336,913.7965502738951,0.7864276745822281,0.4144237814471125
56.0,-1925.3404128542752,943.7212074371056,0.9493103536078706,0.5011587385088205
57.0,-1951.204427872988,974.225089286454,0.9627243522263598,0.5792246861383319
58.0,-1976.19135662372,1005.3012562487274,0.8770862679812126,0.5722851129248738
59.0,-2000.305785469507,1036.934975975193,0.8724999049445614,0.5575527641922235
60.0,-2023.471861309372,1069.1403672974557,0.9483530059223996,0.5716715957969427
61.0,-2045.742783727881,1101.9021625760945,0.8951534213556442,0.5564039563760161
62.0,-2067.2315420082887,1135.1651035388932,0.782164138101507,0.5011456841602921
63.0,-2088.0261008120724,1168.9132526572794,0.6941994766239077,0.4852081555873155
64.0,-2108.18494739983,1203.074545333162,0.6357122160261497,0.4131435574963689
65.0,-2127.749993559788,1237.6288938261569,0.5938004277995788,0.3930558171123266
66.0,-2146.7508948043105,1272.570978156291,0.5641449154354632,0.3877358371391892
67.0,-2165.309345600748,1307.811138293706,0.4424504480848554,0.2980758072808385
68.0,-2183.6637700344145,1343.2209708029404,0.2040263627714011,0.1696723718196153
69.0,-2201.994962090393,1378.6912853494289,0.0232323776872362,0.0604820372536778
70.0,-2220.2979012595606,1414.230723422021,0.0282528868119698,0.0691235261037945
71.0,-2238.6384107569465,1449.8260196214542,-0.0375703282188624,0.0558581268414855
72.0,-2257.0379195843707,1485.4869160167873,-0.0589993300382047,0.0656001958996057
73.0,-2275.6023593694263,1521.1706251828,-0.1649309576314408,0.022812770679593
74.0,-2294.1411400117795,1556.9707849193364,0.0256591427023522,0.1164505705237388
75.0,-2312.6338677808526,1592.8616074379534,0.0460528732801321,0.0906627820804715
76.0,-2331.112836460816,1628.826733830385,0.0137590891099534,0.0743038738146424
77.0,-2349.778999996546,1664.7283841194585,-0.1871948557673022,-0.0634761033579707
78.0,-2368.5789361643256,1700.5697552366182,-0.1337726320489309,-0.0602791719138622
79.0,-2387.3299140200834,1736.4052512999624,0.0489583120215684,-0.0058750538155436
80.0,-2406.0862908711133,1772.2527791894972,-0.0053989952721167,0.0120318261906504
81.0,-2424.714260689536,1808.1503691319376,0.1284070326073561,0.0500620529055595
82.0,-2443.285724734422,1844.04403273575,0.0565057735366281,-0.0039263386279344
83.0,-2461.906336334476,1879.8881691973656,-0.0491475551680196,-0.0495271421968936
84.0,-2480.608845683979,1915.6441079033536,-0.0818977494491264,-0.0881977556273341
85.0,-2499.395423512848,1951.2950709490103,-0.0840684793656691,-0.1049756603315472
86.0,-2518.140690678701,1986.905889492482,0.0413106630148831,-0.040144502185285
87.0,-2536.867612392496,2022.4749865252525,0.0183454520592931,-0.0417215107008814
88.0,-2555.6437818490376,2057.974503851496,-0.0492477427469566,-0.0695797065272927
89.0,-2574.7123319480743,2093.2678733672947,-0.2923806424951181,-0.2061478104442358
90.0,-2594.398716353025,2128.1739790495485,-0.6178343059145845,-0.3872638335451484
91.0,-2614.756412947172,2162.6431541247293,-0.6713121891953051,-0.436930607073009
92.0,-2635.708845052839,2196.803618642501,-0.5947355115204118,-0.3087105574086308
93.0,-2657.038550044759,2230.688463047147,-0.3772728862531949,-0.2756201131269336
94.0,-2678.6986178895168,2263.8705283692107,-0.3303628528374247,-0.7027790825814009
95.0,-2700.9461743469,2297.0741262938827,-0.5874886126257479,0.0215326026082038
96.0,-2724.114665819681,2329.5382569367066,-0.9209350153978448,-0.7394672818481922
97.0,-2748.060200734064,2361.431090754457,-0.7770434416015632,-0.5712968250736594
98.0,-2772.6723946829734,2392.8362427810207,-0.6666590345266741,-0.4876817911863327
99.0,-2797.836065389216,2423.842430977151,-0.5514767573331483,-0.3989638304337859
100.0,,,-0.6539018209441565,-0.5325207449495792
101.0,,,-0.5776924974343274,-0.5025547370314598
102.0,,,-0.4891044466639869,-0.4286503996700048
103.0,,,-0.5485156590002589,-0.5057466626167297
104.0,,,-0.6543137029220816,-0.6112533370032907
105.0,,,-0.660180240200134,-0.6507496479898691
106.0,,,-0.5455879562650807,-0.5840891217812896
107.0,,,-0.3856441120442468,-0.4434730028733611
108.0,,,-0.4908855584799312,-0.500861681997776
109.0,,,-0.4606845807284117,-0.4793426385149359
110.0,,,-0.4275447682884987,-0.4754940317943692
111.0,,,-0.4563208566687535,-0.5535735050216317
112.0,,,-0.2569921763788443,-0.310127873905003
113.0,,,-0.1503258404554799,-0.1320976559072733
114.0,,,-0.0656005758501123,-0.0056504262611269
115.0,,,-0.0141598392801824,0.0864229863509535
116.0,,,-0.0650217145739588,0.0438674530014395
117.0,,,-0.0653779369022231,0.0419935835525393
118.0,,,0.0173658405255991,0.0935197360813617
119.0,,,-0.0156960482127033,0.0052688512951135
120.0,,,-0.0769774278742261,-0.0364250019192695
121.0,,,-0.0464647554326802,-0.0349824307486414
122.0,,,0.0423125384259037,0.0948446905240416
123.0,,,-0.0238891626650001,-0.0291364826261997
124.0,,,0.0097404553962405,-0.0043700132519006
125.0,,,0.0407540655869524,0.0346468901261687
126.0,,,0.0377261754183564,0.0696330815553665
127.0,,,0.0269615806464571,0.0436916081234812
128.0,,,-0.0931410179182421,-0.0978738479316234
129.0,,,-0.0652666174282785,-0.0776593619957566
130.0,,,0.0290877829247619,0.0490016853436827
131.0,,,-0.0048201339668594,-0.0440866742283105
132.0,,,-0.017889042122988,-0.0872697038576006
133.0,,,-0.0201933556527365,-0.074596669524908
134.0,,,0.060179316700669,-0.0424666544422507
135.0,,,0.1732019956980366,0.0572570897638797
136.0,,,0.0900463361758738,-0.0951106417924165
137.0,,,0.136088077473687,-0.0684844264760613
138.0,,,0.3289824911043979,0.0327274156734347
139.0,,,-0.1740591558045707,0.0816232999786734
140.0,,,0.1922376287402585,-0.5700120478868484
141.0,,,0.1331492428143974,-0.1254907678812742
142.0,,,-0.0077923642820678,0.1136330682784318
143.0,,,0.0708103280630894,0.0039709461852908
144.0,,,0.1034269389347173,0.0832878984510898
145.0,,,0.0259263093757908,-0.0345119796693325
146.0,,,0.0340415003011003,0.0429753614589571
147.0,,,-0.044204969832208,0.0108738094568252
148.0,,,-0.1281732616189401,-0.0949673512950539
149.0,,,-0.0755970662576146,0.0333508215844631
150.0,,,-0.0457077829632908,0.0214057490229606
151.0,,,0.0098517750157043,0.1706260638311505
152.0,,,0.2317115200276021,0.4153662687167525
153.0,,,0.5587793160229921,0.8173034489154816
154.0,,,0.7143705682537984,0.9569659316912292
155.0,,,0.8609338098904118,1.0561226829886436
156.0,,,0.8763181634130888,1.001164456829429
157.0,,,0.904070112563204,1.0027947751805186
158.0,,,0.91227435899782,0.9288841104134916
159.0,,,0.9840754305769224,0.8972659576684237
160.0,,,1.0300392482604366,0.8481085086241364
